ResponseId,Q120,MainBranch,Age,Employment,RemoteWork,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,LearnCodeCoursesCert,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,TechList,BuyNewTool,Country,Currency,CompTotal,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSysPersonal use,OpSysProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,AISearchHaveWorkedWith,AISearchWantToWorkWith,AIDevHaveWorkedWith,AIDevWantToWorkWith,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,SOAI,AISelect,AISent,AIAcc,AIBen,AIToolInterested in Using,AIToolCurrently Using,AIToolNot interested in Using,AINextVery different,AINextNeither different nor similar,AINextSomewhat similar,AINextVery similar,AINextSomewhat different,TBranch,ICorPM,WorkExp,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Knowledge_8,Frequency_1,Frequency_2,Frequency_3,TimeSearching,TimeAnswering,ProfessionalTech,Industry,SurveyLength,SurveyEase,ConvertedCompYearly
1,I agree,None of these,18-24 years old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,I agree,I am a developer by profession,25-34 years old,"Employed, full-time",Remote,Hobby;Contribute to open-source projects;Bootstrapping a business;Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Colleague;Friend or family member;Hackathons (virtual or in-person);Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)","Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;Recorded coding sessions;How-to videos;Video-based Online Courses;Written-based Online Courses;Auditory material (e.g., podcasts);Online challenges (e.g., daily or weekly coding challenges);Written Tutorials;Click to write Choice 20;Stack Overflow",Other,18,9,"Senior Executive (C-Suite, VP, etc.)",2 to 9 employees,I have a great deal of influence,Investigate,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Other (please specify):,United States of America,"USD	United States dollar",285000,HTML/CSS;JavaScript;Python,Bash/Shell (all shells);C#;Dart;Elixir;GDScript;HTML/CSS;JavaScript;Rust,Supabase,Firebase Realtime Database;Supabase,Amazon Web Services (AWS);Netlify;Vercel,Fly.io;Netlify;Render,Next.js;React;Remix;Vue.js,Deno;Elm;Nuxt.js;React;Svelte;Vue.js,Electron;React Native;Tauri,Capacitor;Electron;Tauri;Uno Platform;Xamarin,Docker;Kubernetes;npm;Pip;Vite;Webpack;Yarn,Godot;npm;pnpm;Unity 3D;Unreal Engine;Vite;Webpack;Yarn,Vim;Visual Studio Code,Vim;Visual Studio Code,iOS;iPadOS;MacOS;Windows;Windows Subsystem for Linux (WSL),MacOS;Windows;Windows Subsystem for Linux (WSL),Asana;Basecamp;GitHub Discussions;Jira;Linear;Notion;Trello,GitHub Discussions;Linear;Notion;Trello,Cisco Webex Teams;Discord;Google Chat;Google Meet;Signal;Skype;Slack;Telegram;Whatsapp;Zoom,Discord;Signal;Slack;Zoom,ChatGPT,ChatGPT;Neeva AI,GitHub Copilot,GitHub Copilot,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,"Yes, definitely","I don't think it's super necessary, but I think improving search and clarifying poorly worded questions would be useful (especially for moderators/editors).",Yes,Indifferent,Other (please explain),Somewhat distrust,Learning about a codebase;Writing code;Debugging and getting help,Writing code;Committing and reviewing code,,NA,NA,NA,NA,NA,Yes,People manager,10,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,1-2 times a week,10+ times a week,Never,15-30 minutes a day,15-30 minutes a day,DevOps function;Microservices;Automated testing;Observability tools,"Information Services, IT, Software Development, or other Technology",Appropriate in length,Easy,285000
3,I agree,I am a developer by profession,45-54 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Colleague;On the job training;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)","Formal documentation provided by the owner of the tech;Blogs with tips and tricks;How-to videos;Online challenges (e.g., daily or weekly coding challenges);Written Tutorials;Click to write Choice 20;Stack Overflow",NA,27,23,"Developer, back-end","5,000 to 9,999 employees",I have some influence,Given a list,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,United States of America,"USD	United States dollar",250000,Bash/Shell (all shells);Go,Haskell;OCaml;Rust,NA,NA,Amazon Web Services (AWS);Google Cloud;OpenStack;VMware;Vultr,NA,NA,NA,NA,NA,Cargo;Docker;Kubernetes;Make;Nix,Cargo;Kubernetes;Nix,Emacs;Helix,Emacs;Helix,MacOS;Other Linux-based,MacOS;Other Linux-based,Markdown File;Stack Overflow for Teams,Markdown File,Microsoft Teams;Slack;Zoom,Slack;Zoom,NA,NA,NA,NA,Stack Overflow;Stack Exchange;Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies),A few times per month or weekly,Yes,Less than once per month or monthly,Neutral,NA,"No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Individual contributor,23,Strongly agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,6-10 times a week,6-10 times a week,3-5 times a week,30-60 minutes a day,30-60 minutes a day,DevOps function;Microservices;Automated testing;Observability tools;Innersource initiative;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,"Information Services, IT, Software Development, or other Technology",Appropriate in length,Easy,250000
4,I agree,I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Colleague;Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)","Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Auditory material (e.g., podcasts);Written Tutorials;Stack Overflow;Interactive tutorial",NA,12,7,"Developer, front-end",100 to 499 employees,I have some influence,Investigate,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,United States of America,"USD	United States dollar",156000,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Ruby;SQL;TypeScript,Bash/Shell (all shells);HTML/CSS;JavaScript;Ruby;TypeScript,PostgreSQL;Redis,PostgreSQL;Redis,Cloudflare;Heroku,Cloudflare;Heroku,Node.js;React;Ruby on Rails;Vue.js;WordPress,Node.js;Ruby on Rails;Vue.js,NA,NA,Homebrew;npm;Vite;Webpack;Yarn,Homebrew;npm;Vite,IntelliJ IDEA;Vim;Visual Studio Code;WebStorm,IntelliJ IDEA;Vim;WebStorm,iOS;iPadOS;MacOS,iOS;iPadOS;MacOS,Jira,Jira,Discord;Google Meet;Microsoft Teams;Slack;Zoom,Discord;Google Meet;Slack;Zoom,NA,NA,NA,NA,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"No, not really",I'm wearing of Stack Overflow using AI.,"No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Individual contributor,7,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Agree,Agree,1-2 times a week,10+ times a week,1-2 times a week,15-30 minutes a day,30-60 minutes a day,Automated testing;Continuous integration (CI) and (more often) continuous delivery,NA,Appropriate in length,Easy,156000
5,I agree,I am a developer by profession,25-34 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed",Remote,Hobby;Contribute to open-source projects;Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Online Courses or Certification;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)","Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;How-to videos;Video-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Written Tutorials;Click to write Choice 20;Interactive tutorial;Certification videos",Other;Codecademy;edX,6,4,"Developer, full-stack",20 to 99 employees,I have some influence,Investigate,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit,Philippines,"PHP	Philippine peso",1320000,HTML/CSS;JavaScript;TypeScript,HTML/CSS;JavaScript;Python;Rust;TypeScript,BigQuery;Elasticsearch;MongoDB;PostgreSQL,Elasticsearch;MongoDB;PostgreSQL;Redis;Supabase,Amazon Web Services (AWS);Firebase;Heroku;Netlify;Vercel,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Netlify;Vercel,Express;Gatsby;NestJS;Next.js;Node.js;React,Express;NestJS;Next.js;Node.js;React;Remix;Vue.js,NA,NA,Docker;npm;Webpack;Yarn,Docker;npm;Yarn,Vim;Visual Studio Code,Vim;Visual Studio Code,Other (Please Specify):,Other (Please Specify):,Confluence;Jira;Notion,Confluence;Jira;Notion,Discord;Google Meet;Slack;Zoom,Discord;Google Meet;Slack;Zoom,ChatGPT,ChatGPT,NA,NA,Stack Overflow;Stack Exchange,A few times per week,No,NA,Neutral,Using AI to suggest better answer to my questions.,Yes,Very favorable,Increase productivity;Greater efficiency;Speed up learning;Improve accuracy in coding,Somewhat trust,Project planning;Testing code;Committing and reviewing code;Deployment and monitoring;Collaborating with teammates ,Learning about a codebase;Writing code;Documenting code;Debugging and getting help,,NA,NA,NA,NA,NA,Yes,Individual contributor,6,Agree,Strongly agree,Agree,Agree,Neither agree nor disagree,Agree,Strongly agree,Agree,1-2 times a week,1-2 times a week,3-5 times a week,60-120 minutes a day,30-60 minutes a day,Microservices;Automated testing;Observability tools;Continuous integration (CI) and (more often) continuous delivery,Other,Appropriate in length,Neither easy nor difficult,23456
6,I agree,I am a developer by profession,35-44 years old,"Employed, full-time",Remote,Hobby;Professional development or self-paced learning from online courses,Some college/university study without earning a degree,"Books / Physical media;Colleague;Online Courses or Certification;Other online resources (e.g., videos, blogs, forum)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;Recorded coding sessions;How-to videos;Written Tutorials;Stack Overflow;Interactive tutorial,Other,21,21,"Developer, back-end",100 to 499 employees,I have little or no influence,NA,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,United Kingdom of Great Britain and Northern Ireland,"GBP	Pound sterling",78000,Bash/Shell (all shells);HTML/CSS;JavaScript;Ruby;SQL;TypeScript,Go;Rust,BigQuery;Cloud Firestore;PostgreSQL;Redis,NA,Amazon Web Services (AWS);Cloudflare;Google Cloud,NA,Angular;Express;NestJS;Node.js,NA,NA,NA,Docker;Homebrew;Kubernetes;npm;pnpm;Terraform,Cargo,Helix;Neovim,NA,Other (Please Specify):,MacOS,Jira;Markdown File;Notion;Stack Overflow for Teams,NA,Google Meet;Microsoft Teams;Slack;Zoom,NA,ChatGPT;Google Bard AI;Neeva AI,NA,GitHub Copilot;Tabnine,NA,Stack Overflow,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,"No, not at all",NA,Yes,Favorable,Greater efficiency,Somewhat trust,Learning about a codebase;Documenting code;Testing code;Committing and reviewing code;Deployment and monitoring;Collaborating with teammates ,Writing code;Debugging and getting help,Project planning,NA,NA,NA,NA,NA,Yes,Individual contributor,22,Agree,Strongly agree,Disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Disagree,Disagree,1-2 times a week,1-2 times a week,3-5 times a week,30-60 minutes a day,15-30 minutes a day,DevOps function;Microservices;Observability tools;Continuous integration (CI) and (more often) continuous delivery,Other,Appropriate in length,Neither easy nor difficult,96828
7,I agree,I am a developer by profession,35-44 years old,"Employed, full-time",Remote,Hobby;Contribute to open-source projects;Professional development or self-paced learning from online courses,Some college/university study without earning a degree,Friend or family member;Online Courses or Certification;Coding Bootcamp,NA,Udemy,4,3,"Developer, full-stack","1,000 to 4,999 employees",I have little or no influence,NA,Ask developers I know/work with;Read ratings or reviews on third party sites like G2 Crowd,United States of America,"USD	United States dollar",135000,Ada;Clojure;Elixir;Go;HTML/CSS;Java;JavaScript;Lisp;OCaml;Raku;Ruby;Scala;Swift;TypeScript;Zig,NA,MariaDB;Microsoft SQL Server;MySQL;PostgreSQL;SQLite,Datomic,Amazon Web Services (AWS);Digital Ocean,Vercel,AngularJS;jQuery;Node.js;Phoenix;Ruby on Rails;Solid.js;Svelte;Vue.js,NA,RabbitMQ;Spring Framework,NA,Bun;Cargo;Chocolatey;Docker;Homebrew;Kubernetes;Make;Maven (build tool);npm;pnpm;Vite;Yarn,NA,Emacs;IntelliJ IDEA;RubyMine;Visual Studio Code;Xcode,NA,MacOS;Windows,MacOS,Jira,NA,Slack,NA,ChatGPT,NA,GitHub Copilot,NA,Stack Overflow,A few times per month or weekly,Yes,Less than once per month or monthly,Neutral,Neutral,Yes,Unfavorable,Improve accuracy in coding,Somewhat distrust,,Writing code;Debugging and getting help,Learning about a codebase;Project planning;Writing code;Documenting code;Testing code;Committing and reviewing code;Deployment and monitoring;Collaborating with teammates ,NA,NA,NA,NA,NA,Yes,Individual contributor,4,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,1-2 times a week,3-5 times a week,1-2 times a week,Less than 15 minutes a day,15-30 minutes a day,Microservices;Automated testing;Continuous integration (CI) and (more often) continuous delivery,"Information Services, IT, Software Development, or other Technology",Appropriate in length,Easy,135000
8,I agree,I am a developer by profession,25-34 years old,"Employed, full-time",Remote,Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Coding Bootcamp","Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;Recorded coding sessions;How-to videos;Auditory material (e.g., podcasts);Written Tutorials;Click to write Choice 20;Stack Overflow;Interactive tutorial",Codecademy;edX,5,3,"Developer, full-stack",10 to 19 employees,I have some influence,Investigate,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit;Read ratings or reviews on third party sites like G2 Crowd;Ask a generative AI tool,United States of America,"USD	United States dollar",80000,Go;HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,Elixir;Go;Julia;Python;R;Rust;Scala;SQL;TypeScript;Zig,Dynamodb;MongoDB;MySQL;Redis;SQLite,BigQuery;Cockroachdb;DuckDB;Elasticsearch;MongoDB;Neo4J;PostgreSQL;Redis;Snowflake;SQLite,Amazon Web Services (AWS);Fly.io;Netlify;Vercel,"Amazon Web Services (AWS);Digital Ocean;Fly.io;Linode, now Akamai;Vercel",Angular;Express;Next.js;Node.js;React,Deno;FastAPI;Fastify;Flask;NestJS;Next.js;Node.js;Phoenix;React;Remix,NumPy;Pandas;Scikit-Learn;Tauri;TensorFlow,.NET MAUI;Apache Kafka;Apache Spark;Hugging Face Transformers;Ionic;JAX;NumPy;Pandas;Scikit-Learn;Tauri;TensorFlow;Tidyverse;Torch/PyTorch,Ansible;Cargo;Docker;Homebrew;Make;npm;Pip;pnpm;Vite,Cargo;Dagger;Docker;Homebrew;Kubernetes;Make;npm;pnpm;Terraform;Vite;Wasmer,DataGrip;IPython;Neovim;Vim;Visual Studio Code,IPython;Neovim;RStudio;Visual Studio Code,MacOS;Ubuntu;Windows,MacOS;Ubuntu;Windows,Markdown File;Notion,Markdown File;Notion,Microsoft Teams,Discord,Bing AI;ChatGPT;Google Bard AI,ChatGPT;Neeva AI;Perplexity AI,GitHub Copilot,GitHub Copilot,Stack Overflow;Stack Exchange;Collectives on Stack Overflow,Daily or almost daily,Yes,A few times per month or weekly,"Yes, somewhat",NA,Yes,Favorable,Increase productivity;Speed up learning,Somewhat distrust,Project planning;Writing code;Documenting code;Debugging and getting help;Testing code;Committing and reviewing code,Project planning;Writing code;Debugging and getting help,,NA,NA,NA,NA,NA,Yes,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60-120 minutes a day,30-60 minutes a day,None of these,Financial Services,NA,NA,80000
9,I agree,"I am not primarily a developer, but I write code sometimes as part of my work/studies",45-54 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Contribute to open-source projects,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;How-to videos;Video-based Online Courses;Written-based Online Courses;Written Tutorials;Click to write Choice 20;Stack Overflow,Udemy;Pluralsight,20,15,System administrator,100 to 499 employees,I have some influence,Given a list,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,Finland,EUR European Euro,60000,C#;JavaScript;PowerShell;Ruby;TypeScript,C#;Ruby;Rust;TypeScript,MariaDB;Microsoft SQL Server;MySQL;PostgreSQL;SQLite,MariaDB;Microsoft SQL Server;PostgreSQL;SQLite,Digital Ocean;Microsoft Azure;Netlify,Digital Ocean;Microsoft Azure;Netlify,ASP.NET CORE;Next.js;React;Ruby on Rails,ASP.NET CORE;Qwik;Ruby on Rails;Svelte,.NET (5+) ,.NET (5+) ,Chocolatey;Docker;Homebrew;MSBuild;npm;NuGet;pnpm;Vite;Yarn,Homebrew;pnpm;Vite,Neovim;Visual Studio Code,Neovim;Visual Studio Code,MacOS;Ubuntu,Ubuntu;Windows;Windows Subsystem for Linux (WSL),Azure Devops;Microsoft Lists;Microsoft Planner,Azure Devops,Discord;Microsoft Teams;Slack,Discord;Microsoft Teams,NA,NA,NA,NA,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,I have never participated in Q&A on Stack Overflow,Neutral,To suggest solutions in alternative language for example,Yes,Very favorable,Increase productivity,Somewhat trust,Learning about a codebase;Writing code;Documenting code;Deployment and monitoring,,,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Neither easy nor difficult,64254
10,I agree,I am a developer by profession,25-34 years old,"Not employed, but looking for work",NA,NA,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Online Courses or Certification;Other online resources (e.g., videos, blogs, forum)","Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;Recorded coding sessions;Video-based Online Courses;Written-based Online Courses;Auditory material (e.g., podcasts);Written Tutorials;Interactive tutorial",edX;Udemy;Pluralsight;Coursera;Udacity,6,NA,"Developer, full-stack",NA,NA,Investigate,Start a free trial;Research companies that have advertised on sites I visit;Read ratings or reviews on third party sites like G2 Crowd;Ask a generative AI tool;Research companies that have emailed me,India,NA,NA,HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,HTML/CSS;JavaScript;TypeScript,Cloud Firestore;MongoDB;MySQL;PostgreSQL;SQLite,Cloud Firestore;Firebase Realtime Database;MongoDB;MySQL;PostgreSQL;SQLite;Supabase,Amazon Web Services (AWS);Firebase;Google Cloud;Heroku;Netlify;Vercel,Cloudflare;Firebase;Google Cloud;IBM Cloud Or Watson;Netlify;Oracle Cloud Infrastructure (OCI);Vercel,Angular;Express;NestJS;React,Deno;Express;FastAPI;Fastify;NestJS;Qwik;React;Svelte,NA,NA,Docker;npm;Vite;Webpack;Yarn,Docker;npm;Podman;Vite;Webpack;Yarn,Visual Studio Code,Visual Studio Code,Fedora;Other Linux-based;Ubuntu;Windows;Windows Subsystem for Linux (WSL),Fedora;Other Linux-based;Red Hat;Windows;Windows Subsystem for Linux (WSL),Asana;Markdown File;Miro;Notion;Redmine;Trello,Asana;Markdown File;Miro;Notion;Redmine;Trello,Discord;Google Chat;Google Meet;Slack;Telegram,Discord;Google Chat;Google Meet;Telegram,Bing AI;ChatGPT,Bing AI;ChatGPT;Google Bard AI,AWS CodeWhisperer;GitHub Copilot;Tabnine,AWS CodeWhisperer;GitHub Copilot,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,Neutral,"AI could assist solving communication issues possibly by offering suggestions, Corrections for Gramatical errors,  Better descriptions for problems or solutions and improve search experience",Yes,Indifferent,Other (please explain);Increase productivity;Greater efficiency;Speed up learning,Neither trust nor distrust,Learning about a codebase;Documenting code;Committing and reviewing code,Writing code;Debugging and getting help,Project planning;Testing code;Deployment and monitoring;Collaborating with teammates ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Neither easy nor difficult,NA
